Designator,Value,Footprint,Mid X,Mid Y,Rotation,Layout
"C1","10u","C_0402_1005Metric",111.760000,-83.820000,270.000000,top
"C2","12p","C_0402_1005Metric",80.500000,-100.700000,270.000000,top
"C3","12p","C_0402_1005Metric",83.050000,-100.700000,270.000000,top
"C4","1u","C_0805_2012Metric",97.536000,-98.044000,0.000000,top
"C5","1u","C_0603_1608Metric",85.844000,-98.912000,0.000000,top
"C6","10n","C_0603_1608Metric",85.844000,-100.436000,0.000000,top
"C7","1u","C_0805_2012Metric",93.472000,-99.060000,0.000000,top
"C8","100n","C_0402_1005Metric",79.725000,-94.848000,180.000000,top
"C9","100n","C_0402_1005Metric",88.000000,-74.500000,0.000000,top
"C10","10u","C_0402_1005Metric",88.000000,-73.400000,0.000000,top
"C11","100n","C_0402_1005Metric",88.765000,-85.831000,0.000000,top
"C12","10u","C_0402_1005Metric",88.765000,-84.688000,0.000000,top
"D1","Blue","LED_0805_2012Metric",77.716000,-85.274500,270.000000,top
"J2","Bat","JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal",104.140000,-97.790000,0.000000,top
"J4","SWD","PinHeader_2x05_P1.27mm_Vertical_SMD",80.700000,-76.300000,270.000000,top
"L1","39n","L_0402_1005Metric",85.359000,-97.388000,180.000000,top
"Q1","AO3401A","SOT-23",97.536000,-94.996000,0.000000,top
"R1","100K","R_0402_1005Metric",92.433000,-84.836000,180.000000,top
"R2","100K","R_0402_1005Metric",92.456000,-86.868000,180.000000,top
"R3","10k","R_0402_1005Metric",89.600000,-73.885000,90.000000,top
"R4","1k5","R_0603_1608Metric",80.100000,-83.300000,270.000000,top
"R5","10k","R_0402_1005Metric",86.400000,-73.900000,90.000000,top
"R6","22","R_0402_1005Metric",83.200000,-81.785000,90.000000,top
"R7","22","R_0402_1005Metric",82.200000,-81.800000,90.000000,top
"R8","22","R_0402_1005Metric",78.100000,-81.800000,90.000000,top
"R9","10k","R_0402_1005Metric",78.224000,-92.816000,90.000000,top
"U1","RFM69HCW","RF_Module_COM-13909",102.235000,-83.820000,0.000000,top
"U2","XC6206P332MR","SOT-23-3",93.472000,-96.012000,0.000000,top
"U3","STM32L010K4T6","LQFP-32_7x7mm_P0.8mm",84.320000,-90.276000,90.000000,top
"U4","AHT20","LGA-6_3x3mm_AHT20",88.900000,-76.200000,180.000000,top
"X1","UFL_SMA","U.FL_Hirose_U.FL-R-SMT-1_Vertical",114.300000,-90.805000,0.000000,top
"Y1","32.768k","Crystal_SMD_3215-2Pin_3.2x1.5mm",81.780000,-98.531000,180.000000,top
